age,workclass,education,marital-status,occupation,place-of-birth,relationship,hours-per-week,sex,race,income
62.0,Private Non-Profit,"One or more years of college credit, no degree",Married,"Office Clerks, General",MASSACHUSETTS,Husband/wife,40.0,Female,White,False
,Self-Employed (Not Inc.),"SOME COLLEGE, BUT LESS THAN 1 YEAR",Married,Assemblers And Fabricators,Oklahoma,Husband/wife,70.0,Male,White,False
23.0,Private For-Profit,Associate's degree,Never married,Cashiers,California,Biological son or daughter,20.0,Male,Asian,False
50.0,Local Government,Associate's degree,Married,Word Processors And Typists,CONNECTICUT,Reference person,40.0,Female,White,False
30.0,Private For-Profit,Regular high school diploma,Separated,Social And Community Service Managers,Pakistan,Reference person,40.0,Female,Asian,False
28.0,Local Government,Master's degree,Never married,Elementary And Middle School Teachers,new jersey,Biological son or daughter,30.0,fem,White,False
40.0,Private For-Profit,REGULAR HIGH SCHOOL DIPLOMA,Married,,Maryland,Other relative,25.0,m,Black,False
19.0,Private For-Profit,"One or more years of college credit, no degree",Never married,Security Guards And Gaming Surveillance Officers,Illinois,Reference person,18.0,male,White,False
49.0,Local Government,Regular high school diploma,Never married,"Bus Drivers, School",Pennsylvania,Biological son or daughter,40.0,Female,White,False
24.0,Private For-Profit,"One or more years of college credit, no degree",Never married,"Sales Representatives, Wholesale And Manufacturing",California,Biological son or daughter,20.0,Male,Other Race,False
44.0,Private For-Profit,Regular high school diploma,Married,Radio And Telecommunications Equipment Installers And Repairers,INDIANA,Husband/wife,40.0,M,White,False
57.0,Self-Employed (Inc.),regular high school diploma,Married,Construction Managers,Colorado,Husband/wife,50.0,male,White,True
46.0,,REGULAR HIGH SCHOOL DIPLOMA,Never married,Janitors And Building Cleaners,Minnesota,Unmarried partner,40.0,Female,White,False
23.0,Private For-Profit,"Some college, but less than 1 year",Never married,Cashiers,New Jersey,Biological son or daughter,20.0,Male,Black,False
37.0,Private Non-Profit,"One or more years of college credit, no degree",Married,"Life, Physical, And Social Science Technicians",Colorado,Reference person,40.0,Female,White,False
43.0,Local Government,"Some college, but less than 1 year",Married,"Inspectors, Testers, Sorters, Samplers, And Weighers",EL SALVADOR,Reference person,40.0,Male,White,True
65.0,Private For-Profit,Grade 8,Married,Driver/Sales Workers And Truck Drivers,Mississippi,Reference person,65.0,Male,White,False
31.0,Private Non-Profit,PROFESSIONAL DEGREE BEYOND A BACHELOR'S DEGREE,Married,,alabama,Reference person,80.0,Male,White,True
,Private For-Profit,Master's degree,Married,Food Service Managers,California,Husband/wife,50.0,fem,White,False
27.0,Private For-Profit,"One or more years of college credit, no degree",Married,Accountants And Auditors,kentucky,Reference person,50.0,Female,White,False
21.0,Private For-Profit,Regular high school diploma,Never married,"Sales Representatives Of Services, Except Advertising, Insurance, Financial Services, And Travel",Michigan,biological son or daughter,30.0,M,White,True
24.0,Private For-Profit,ASSOCIATE'S DEGREE,Never married,Customer Service Representatives,Missouri,housemate or roommate,32.0,Female,White,False
,Private Non-Profit,"One or more years of college credit, no degree",Never married,Surgical Technologists,Massachusetts,Noninstitutionalized group quarters population,40.0,Female,White,False
49.0,Local Government,Bachelor's degree,Married,Police Officers,Florida,Husband/wife,45.0,Male,White,True
59.0,Self-Employed (Inc.),Associate's degree,Married,Managers,TEXAS,Husband/wife,25.0,Male,White,False
40.0,Private For-Profit,"SOME COLLEGE, BUT LESS THAN 1 YEAR",Married,Credit Counselors And Loan Officers,Missouri,Husband/wife,50.0,Male,White,True
21.0,Private For-Profit,"One or more years of college credit, no degree",Never married,Stockers And Order Fillers,Gambia,Biological son or daughter,40.0,Female,Black,False
24.0,Private For-Profit,"One or more years of college credit, no degree",Never married,Grounds Maintenance Workers,Missouri,Reference person,40.0,Male,White,False
17.0,Private For-Profit,Grade 10,Never married,Waiters And Waitresses,MEXICO,Brother or sister,30.0,Female,White,False
22.0,Private For-Profit,Associate's degree,Never married,,california,Housemate or roommate,40.0,Female,White,False
64.0,Private Non-Profit,Professional degree beyond a bachelor's degree,Married,Urban And Regional Planners,Canada,Reference person,45.0,Male,White,True
56.0,Private For-Profit,BACHELOR'S DEGREE,Married,Producers And Directors,Colorado,Reference person,50.0,Male,White,False
,Private For-Profit,Associate's degree,Married,Forest And Conservation Workers,Maine,Reference person,55.0,Male,White,True
38.0,Private For-Profit,Master's degree,Never married,Security Guards And Gaming Surveillance Officers,Alaska,Reference person,12.0,Male,White,False
45.0,Private For-Profit,Bachelor's degree,Married,Registered Nurses,Philippines,Reference person,-10.0,Female,Asian,True
26.0,,GED or alternative credential,Separated,Nursing Assistants,New Jersey,Reference person,24.0,Female,White,False
58.0,State Government,Master's degree,Married,Elementary And Middle School Teachers,New York,Husband/wife,50.0,Female,White,True
31.0,Private Non-Profit,"Some college, but less than 1 year",Married,Nurse Anesthetists,Texas,Reference person,40.0,Female,White,True
64.0,Private For-Profit,Associate's degree,Married,Receptionists And Information Clerks,California,reference person,40.0,Female,White,False
56.0,Private For-Profit,No schooling completed,Married,Customer Service Representatives,Azores Islands,Husband/wife,,Male,wht,False
39.0,Private For-Profit,Associate's degree,Married,"Hairdressers, Hairstylists, And Cosmetologists",georgia,Husband/wife,30.0,Female,White,False
41.0,Private For-Profit,Bachelor's degree,Divorced,Agricultural Workers,North Dakota,Biological son or daughter,40.0,M,White,False
53.0,Private Non-Profit,"One or more years of college credit, no degree",Married,,Utah,Husband/wife,40.0,Female,American Indian,False
25.0,Private For-Profit,"One or more years of college credit, no degree",Never married,Customer Service Representatives,Pennsylvania,reference person,35.0,Female,White,False
51.0,Self-Employed (Inc.),"One or more years of college credit, no degree",Married,First-Line Supervisors Of Non-Retail Sales Workers,Mexico,Reference person,,Male,White,False
35.0,Private For-Profit,ged or alternative credential,Divorced,Underground Mining Machine Operators,COLORADO,Biological son or daughter,87.0,Male,White,True
51.0,Federal Government,Associate's degree,Never married,Registered Nurses,Puerto Rico,Reference person,20.0,Female,White,False
30.0,Federal Government,Associate's degree,Never married,First-Line Supervisors Of Police And Detectives,California,Reference person,60.0,Male,White,False
41.0,Local Government,REGULAR HIGH SCHOOL DIPLOMA,Married,Janitors And Building Cleaners,Utah,reference person,20.0,Female,White,False
51.0,Self-Employed (Not Inc.),Associate's degree,Married,Childcare Workers,SOUTH DAKOTA,Husband/wife,35.0,Female,White,False
40.0,Private For-Profit,Bachelor's degree,Never married,"Social Workers, All Other",Georgia,Father or mother,40.0,Female,Black,False
35.0,Private For-Profit,Bachelor's degree,Married,Registered Nurses,Kenya,reference person,40.0,Male,Black,True
60.0,,Master's degree,Married,"Laborers And Freight, Stock, And Material Movers, Hand",India,Husband/wife,,Female,Asian,False
58.0,Self-Employed (Inc.),Regular high school diploma,Married,Janitors And Building Cleaners,Ohio,Reference person,4.0,Female,White,False
61.0,Private Non-Profit,Bachelor's degree,Divorced,Computer And Information Systems Managers,Ohio,Reference person,40.0,Female,White,True
,Private For-Profit,"ONE OR MORE YEARS OF COLLEGE CREDIT, NO DEGREE",Married,"Sales Representatives, Wholesale And Manufacturing",Texas,Husband/wife,30.0,Female,White,False
44.0,Private For-Profit,Bachelor's degree,Never married,Coaches and Scouts,Illinois,Biological son or daughter,,Male,White,False
62.0,Local Government,Professional degree beyond a bachelor's degree,Married,Accountants And Auditors,Colorado,Husband/wife,40.0,Female,White,True
33.0,Private For-Profit,regular high school diploma,Never married,Stockers And Order Fillers,Texas,Reference person,40.0,Male,Other Race,False
27.0,Private Non-Profit,Bachelor's degree,Never married,Registered Nurses,Pennsylvania,Reference person,36.0,Female,White,False
56.0,Self-Employed (Not Inc.),bachelor's degree,Married,Teachers and Instructors,Michigan,Reference person,6.0,Female,White,False
30.0,Private For-Profit,Bachelor's degree,Married,"Bookkeeping, Accounting, And Auditing Clerks",Connecticut,Reference person,40.0,Female,White,True
38.0,Private For-Profit,GED or alternative credential,Never married,Automotive Service Technicians And Mechanics,Michigan,reference person,40.0,Male,White,False
35.0,Local Government,"One or more years of college credit, no degree",Never married,,New York,Brother or sister,38.0,Female,Black,False
37.0,Self-Employed (Inc.),bachelor's degree,Divorced,Personal Financial Advisors,Illinois,Reference person,60.0,M,White,True
50.0,Private For-Profit,ASSOCIATE'S DEGREE,Married,,Massachusetts,Reference person,28.0,Female,White,False
63.0,Private For-Profit,Associate's degree,Married,First-Line Supervisors Of Office And Administrative Support Workers,Kentucky,Reference person,45.0,Male,White,True
24.0,Private For-Profit,Associate's degree,never married,Cashiers,New York,Housemate or roommate,-10.0,F,White,False
51.0,State Government,Associate's degree,Married,Registered Nurses,Mississippi,Husband/wife,40.0,Female,blk,True
63.0,Private For-Profit,"One or more years of college credit, no degree",Married,"Secretaries And Administrative Assistants, Except Legal, Medial, And Executive",Iowa,husband/wife,30.0,F,White,False
24.0,Private For-Profit,Bachelor's degree,Never married,"Secretaries And Administrative Assistants, Except Legal, Medial, And Executive",Iran,Reference person,10.0,Female,Two or More Race,False
65.0,Private For-Profit,Grade 11,Divorced,Janitors And Building Cleaners,Illinois,Unmarried partner,12.0,Male,White,False
63.0,Private For-Profit,master's degree,Married,Real Estate Brokers And Sales Agents,New York,Reference person,35.0,Male,White,True
64.0,Private For-Profit,"One or more years of college credit, no degree",Divorced,"Secretaries And Administrative Assistants, Except Legal, Medial, And Executive",California,Unmarried partner,40.0,F,White,True
33.0,Self-Employed (Not Inc.),BACHELOR'S DEGREE,Married,"Property, Real Estate, And Community Association Managers",Florida,Husband/wife,40.0,Male,White,True
65.0,Self-Employed (Inc.),Bachelor's degree,Widowed,"Business Operations Specialists, All Other",Connecticut,Reference person,40.0,F,White,True
61.0,Private For-Profit,Regular high school diploma,Married,Dental Assistants,New Mexico,Husband/wife,32.0,Female,White,False
36.0,Private Non-Profit,ged or alternative credential,Divorced,"Social Workers, All Other",Mexico,Reference person,,Female,White,False
40.0,,"One or more years of college credit, no degree",Married,,Minnesota,husband/wife,40.0,Male,White,True
58.0,Private For-Profit,No schooling completed,Married,,El Salvador,Father or mother,40.0,Female,Other Race,False
-5.0,Private For-Profit,GED or alternative credential,Never married,Cleaners Of Vehicles And Equipment,Washington,Unmarried partner,24.0,Female,Other Race,False
,Private For-Profit,"One or more years of college credit, no degree",Widowed,Unknown,Nebraska,Reference person,14.0,Female,White,False
55.0,Private For-Profit,Regular high school diploma,Separated,Automotive Service Technicians And Mechanics,NORTH CAROLINA,reference person,25.0,Male,White,False
39.0,Private For-Profit,Bachelor's degree,Married,"Environmental Science and Geoscience Technicians, And Nuclear Technicians",Brazil,husband/wife,40.0,Female,Other Race,True
62.0,Private Non-Profit,Regular high school diploma,Widowed,,Colorado,Reference person,,Female,White,False
62.0,Private For-Profit,bachelor's degree,DIVORCED,Chief Executives And Legislators,District of Columbia,Reference person,40.0,fem,White,False
53.0,Private For-Profit,"Some college, but less than 1 year",Married,"Dispatchers, Except Police, Fire, And Ambulance",New York,Reference person,200.0,Female,White,False
52.0,Private For-Profit,Bachelor's degree,Married,Radio And Telecommunications Equipment Installers And Repairers,China,Reference person,40.0,Male,Asian,True
69.0,Private For-Profit,Regular high school diploma,Married,"Secretaries And Administrative Assistants, Except Legal, Medial, And Executive",Colorado,husband/wife,30.0,Female,White,False
31.0,Private For-Profit,regular high school diploma,Married,Parts Salespersons,Venezuela,Husband/wife,,Male,White,False
31.0,Private For-Profit,Bachelor's degree,Never married,"Bookkeeping, Accounting, And Auditing Clerks",Minnesota,Reference person,50.0,Female,White,True
34.0,Private For-Profit,Bachelor's degree,Married,Human Resources Managers,MARYLAND,Husband/wife,40.0,Female,White,True
37.0,Self-Employed (Not Inc.),Regular high school diploma,Married,"Farmers, Ranchers, And Agricultural Managers",TENNESSEE,Reference person,50.0,Male,White,False
23.0,Private For-Profit,Regular high school diploma,Never married,,Massachusetts,biological son or daughter,40.0,male,White,False
39.0,Private For-Profit,GED OR ALTERNATIVE CREDENTIAL,Never married,,Georgia,Unmarried partner,35.0,male,Black,False
